tag,description
Inaudible,Inaudible speech
Herbert Halpert,Herbert Halpert
Distortion,Distorted sounds
Zora Neale Hurston,Zora Neale Hurston
Unknown,Unknown speaker
Library of Congress,Library of congress markers spoken by unknown speaker.
Instruments,Instruments playing
Beatrice Lange,Interviewee
Alabama Singleton,Interviewee
Carita Doggett Corse,Interviewer
Evelyn Werner,Interviewee
H. W. Stuckey,Interviewee
Harold B. Hazelhurst,Interviewee
Irene Jackson,Interviewee
Maggie Fulton,Interviewee
Rolla Southworth,Interviewee
Art Pages,Interviewee
Roberts,Interviewee